tweet,hatespeech
@__andrea__b O cara vive em outro mundoNão no mundo realREFUGIADOS são os que vivemNas favelas vizinhas as suas fortalezas,1
@_carmeloneto Estes incompetentes não cuidam nem do povo brasileiro e nem dos poucos refugiados que aqui estão.,0
@_carmeloneto Os 'cumpanhero' quebraram todas as regras.,0
@_GlitteryKisses é isso não conseguem pensar no sentido lato para além do que se vê a frente dos olhos,0
@_iglira bom dia macaco branco haha,1
@_Ioen imagino...  ow mandei fazer um body opressor pra Duda! hahahaha,0
@_Ioen parabéns brou! Menina é bom demais!,0
"@_Ioen PARABÉNS IRMÃO, SAÚDE E #PAZ. AMÉM.",0
"@_jujuba_lima Ah, convivendo apenas comigo esse fds... Precisava disso... Pensando em mtas coisas e trabalhando no meio disso rs.",0
@_jujuba_lima E o sono... rs. Cheiros. Tb adorei!,0
"@_jujuba_lima Oww, linda.. trabalho amanhã =/ dó",0
"@_jujuba_lima que baummm hein, tem coisa mais gostosa? Eu ando reflexiva.. mas, enmm paz. Tb mto bom!",0
"@_jujuba_lima SOu nada, faço o básico hahaha",0
"@_jujuba_lima Taí, sou ótima com sobremesas, doces, bolos...",0
"@_kcris Não deixe as lembranças e saudades te minarem. Enfrente, ouça músicas.. (Essa é linda msm). Conhece The Corrs?",0
"@_kcris OUvindo a música Preciso de vc.. Excelente, linda! Foda, pq tô separando. PQP...",0
@_latinlover_ cedemos ao encanto e caímos de boca meu caro!,0
@_latinlover_ Perfume pra mão jovem amante.....pra mão. Cappice?,1
@_Nabarra 'Estimo que se foda' será mais profissional.,1
@_NandaSilva_ bom dia sapatao da minha vida,1
@_opressor falei isso desde ontem ..kkkk https://t.co/UYYWi7iJ33,0
"@_SsarahA @Ebandeira_ isso n ta errado, mas épesquisa de gente burra, a mulher trabalha menos que o homem",1
@_TheEarlyBird @JOAQUINVOLTOU e que tal uma linha de bonés??  https://t.co/iHrd5qTIH6,0
[9/3 09:11] jhu : Bom viado mais lindo[9/3 09:11] Dj Luizinho: Bom dia sapatão mais gostoza,1
[ENEM] Questão 1: OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO ( ) SOMETIMES ( ) VIDA DE GADO ( ) ANA JULIA ( ) PA GANGNAM STYLE,0
"[EXTRA] Imagine se fosse um branco fazendo isso com um muçulmano, seria notícia no país inteiro https://t.co/1PUC6Uj0gc",1
[EXTRAOFICIAL] O terrorista do Louvre é um egípcio de 29 anos que chegou na França mês passado. Equipe. https://t.co/xLvxIyGJ8I,0
[FUTEBOL]Escolinha da ADC Santana Adc é Pedreira na Copa Rio Branco em Amparo https://t.co/7JnhURaOPd,0
18:40] Max: Vai tomar no teu cu então18:40] Max: Sua gorda feia18:40] Max  :Meu amor por você18:41] Leticia: Eu sou gorda Maxwell?,1
